actor_id,login,name,email,bio,tag,Number of followers,Number of following,tfidf_similarity,Number of Activity,Number of Issue,Number of Pull Request,Number of Repository,Number of Commit,Number of Active day,Periodicity of Activities,Number of Connection Account,Median Response Time,label
43335863,0,0,0,0,0,2,0,0.313133553,1996,1996,0,0,0,3,0.083271865,1,13059.4303,Bot
56741695,1,0,0,0,0,1,0,0.0,65,20,0,0,45,45,0.082693059,2,78453.07692,Bot
32332140,1,0,0,1,0,3,0,0.641731123,1087,13,0,499,237,88,0.082362353,4,1495.25,Bot
6899296,1,0,0,0,0,12,0,0.361189042,851,851,0,0,0,151,0.082346054,4,82270.66667,Bot
25685558,0,0,0,0,0,2,0,0.0,1768,173,337,598,211,196,0.082095382,7,13059.4303,Bot
64544372,0,0,0,0,1,0,0,0.185337586,31494,8929,18146,1443,2976,270,0.080080513,78,93314.5,Bot
10268727,1,0,0,0,0,5,0,0.0,4456,26,420,423,3587,355,0.079902333,5,11163.81818,Bot
13958154,1,0,0,0,0,0,0,0.336096927,55,33,0,0,22,22,0.079408543,1,13059.4303,Bot
84137022,1,0,0,0,1,0,0,0.665633965,1658,1520,138,0,0,145,0.079108342,59,178202.08,Bot
50412245,0,0,0,0,0,0,0,0.480602928,5247,177,1459,1525,2086,348,0.076576331,16,32510.89,Bot
52663964,0,0,0,0,1,0,0,0.0,899,899,0,0,0,305,0.072547518,165,2081.235294,Bot
59799061,0,0,0,0,0,0,0,0.51524911,3374,209,813,2103,245,100,0.068409037,3,412171.1875,Bot
25236228,0,0,0,0,0,2,0,0.592541921,305,286,19,0,0,81,0.065313025,92,25254.33333,Bot
24396625,1,0,0,0,0,0,0,0.0,732,522,0,105,0,50,0.063118637,10,11794.58333,Bot
82276751,0,0,0,0,0,0,0,0.0,43328,6,10,22,43290,4,0.05988171,1,13059.4303,Bot
13995816,1,0,0,0,0,18,0,0.119009157,3211,662,591,1448,257,230,0.057842746,13,8654.227273,Bot
29927910,1,0,0,0,0,0,0,0.716720137,349,349,0,0,0,124,0.057600834,44,13059.4303,Bot
22729528,0,0,0,0,0,9,1,0.506729752,9646,152,49,46,9399,285,0.057347417,4,36881.0,Bot
17830211,0,0,0,0,0,2,0,0.0,21,6,3,5,6,5,0.056053812,1,13059.4303,Bot
32061395,0,0,0,0,0,0,0,0.0,903,158,0,0,745,244,0.053981003,10,20022.0,Bot
38341030,1,1,0,0,0,0,0,0.785386925,1698,213,3,781,701,30,0.051171606,11,2173.130435,Bot
76597500,0,0,0,0,1,0,0,0.987615068,31088,31088,0,0,0,327,0.050340581,55,226593.1875,Bot
60944935,0,0,0,0,0,30,0,0.0,2215,108,0,0,2107,33,0.048018669,3,56241.0,Bot
25687358,1,0,0,0,0,0,0,0.0,341,200,0,0,141,104,0.0476622,1,7785.153846,Bot
8773953,1,0,0,1,0,146,0,0.0,343,173,170,0,0,50,0.046437859,4,25.08,Bot
54726158,0,0,0,0,0,10,0,0.048823083,12595,12591,1,1,2,285,0.04383836,72,153385.0,Bot
39647745,1,0,0,0,0,1,0,0.181361339,25,10,0,0,15,11,0.029411765,1,13059.4303,Bot
33297977,0,0,0,1,0,3,0,0.328351725,1393,137,231,35,915,200,0.025131031,5,2393.368421,Bot
50654509,1,0,0,0,0,0,0,0.419076095,29,29,0,0,0,8,0.021196581,2,13059.4303,Bot
48728329,1,1,0,0,0,0,0,0.794309288,638,21,208,185,203,20,0.017572408,5,13059.4303,Bot
56560396,1,0,0,0,1,0,0,0.103188985,5532,5532,0,0,0,241,0.017392929,46,98105.71429,Bot
55685376,0,0,0,0,1,0,0,0.211653434,5283,5273,10,0,0,332,0.016182262,36,78197.0,Bot
12633088,0,0,0,0,0,36,2,0.965048321,489,73,76,0,340,117,0.013720336,4,302497.0213,Bot
48804891,1,0,0,0,0,0,0,0.0,37,3,0,11,23,8,0.01054339,3,13059.4303,Bot
78547924,0,0,0,0,0,3,0,0.488893625,781,776,0,4,0,14,0.009251937,2,18067.5,Bot
62236447,0,0,0,0,0,4,0,0.079612127,22953,44,23,31,22850,88,0.000429469,2,770.8,Bot
45697175,1,1,0,0,0,2,0,0.086369992,109,24,60,0,25,6,-0.042709174,9,798.6363636,Bot
8485477,1,0,0,0,0,4,0,0.827654725,5,5,0,0,0,3,-0.333333333,2,937.0,Bot
45903829,1,0,0,1,0,0,0,0.840600423,22,11,5,0,5,3,-0.333333333,2,13059.4303,Bot
