,metric,category,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared,total_count
60,Number of Closed Issues,Code_Security_Review_Bots,0.3254545454545453,0.000598938098938,-0.0066045066045065,0.0078858043402472,0.2645766375621396,0.3613537027101057,0.1743521116660382,481.0
62,Average Time to Resolve Issues,Code_Security_Review_Bots,0.33760742378971,-0.0114835085629627,0.0187921486581249,0.0082260467111649,0.2381426769436112,0.3848327325584044,0.2080129680196863,568.0
79,Number of Newly Raised Issues,Collaboration_and_Communication_Bots,0.3873011126300602,-0.0002895484870406,-0.0084885352742494,0.0011270448312274,0.1818248629273522,0.3459067605516764,0.2972953387640236,430.0
80,Number of Comments on Issues,Collaboration_and_Communication_Bots,0.3521018156380171,0.0026133265939421,0.0075798185554282,0.0029470245605133,0.2027107861009194,0.2793934072308371,0.2689256424962424,469.0
81,Number of Closed Issues,Collaboration_and_Communication_Bots,0.3024208228114478,0.0015347720330348,0.0108606802333158,0.0075088441115587,0.2727984949264428,0.3399518045613964,0.1938305847534661,348.0
83,Average Time to Resolve Issues,Collaboration_and_Communication_Bots,0.3484453248604193,-0.0111215960682264,0.036568104843853,0.0061211448026164,0.2278270996306148,0.3962145861627745,0.2334407152367739,415.0
100,Number of Newly Raised Issues,Configuration_Management_Bots,0.3920454545454547,-0.0003973299427845,-0.0006177823448815,0.0008205096053713,0.170822411715371,0.3733856648381296,0.3260369071281441,183.0
101,Number of Comments on Issues,Configuration_Management_Bots,0.3490610381534964,0.0035019800554897,0.0276369695046306,0.0033433931939849,0.178052615947484,0.3042436060015191,0.273807131390216,192.0
102,Number of Closed Issues,Configuration_Management_Bots,0.3030047296453546,0.0010968085510147,0.0153927821368142,0.0080201718088363,0.2115595466217434,0.3069715474457308,0.199656058250232,154.0
104,Average Time to Resolve Issues,Configuration_Management_Bots,0.3391980656087532,-0.0143445687283168,0.0835543340839949,0.0089883996991112,0.2065105347280982,0.3901855513252429,0.2366904285512001,179.0
121,Number of Newly Raised Issues,Documentation_Generation_Bots,0.401715954728003,-0.0027316433566433,-0.019492412349555,0.0006842526851045,0.1828681083547945,0.3671709849228043,0.3295654714130016,321.0
122,Number of Comments on Issues,Documentation_Generation_Bots,0.3230343669488408,0.0005552749118925,0.0394485102332905,0.0052442355932683,0.1603970054567618,0.2981015156568684,0.2905476940021848,348.0
123,Number of Closed Issues,Documentation_Generation_Bots,0.303987678987679,0.0035906401291016,-0.0058088578088578,0.0073334796007676,0.2545551478656562,0.3456939358974774,0.1952546903738591,279.0
125,Average Time to Resolve Issues,Documentation_Generation_Bots,0.3354091160470789,-0.014416577593391,0.0631359818253434,0.0089092468073155,0.1986272300976318,0.4028336353215231,0.2406424919264723,312.0
142,Number of Newly Raised Issues,merged_distinct_actor_ids,0.375563959448199,-0.0037485709561343,0.0062364718614721,0.0025641191451011,0.253188354085862,0.350055826495548,0.2306517952294633,11330.0
143,Number of Comments on Issues,merged_distinct_actor_ids,0.3227864143291652,-0.0022030814713742,0.026936026936027,0.0076163350688083,0.2347068294745177,0.3107649306438096,0.2368474552092017,13403.0
144,Number of Closed Issues,merged_distinct_actor_ids,0.3037917049280686,-0.0017482517482518,0.0111352371626343,0.0119153683863819,0.3074577190620522,0.3640805547968775,0.1686724605268854,8688.0
146,Average Time to Resolve Issues,merged_distinct_actor_ids,0.336551466330903,-0.0094315512850368,0.0042087242665725,0.0072975405566594,0.2585581271519109,0.4032555004871732,0.2124594051213166,10444.0
163,Number of Newly Raised Issues,Open_Source_Compliance_Inspection_Bots,0.3849349407844264,-0.0032459207459207,-0.002729906832074,0.0015719809375036,0.2173714396070332,0.3442649698010978,0.2731967003333259,856.0
164,Number of Comments on Issues,Open_Source_Compliance_Inspection_Bots,0.3482860842306121,-0.0012216698963687,-0.0023058275058277,0.0043401253853011,0.2356548702500471,0.3070196984157076,0.250569928077368,983.0
165,Number of Closed Issues,Open_Source_Compliance_Inspection_Bots,0.3131097910927457,-0.0010993540543259,0.0043437074272617,0.008446861590537,0.2803745592591476,0.364103598675021,0.1848369040496975,682.0
167,Average Time to Resolve Issues,Open_Source_Compliance_Inspection_Bots,0.3493306710720752,-0.0078435416705234,0.0031793008239999,0.0067419193449612,0.2612640897549846,0.3935157997054661,0.2046152731267366,813.0
184,Number of Newly Raised Issues,Periodic_Report_Bots,0.3920454545454547,-0.0003973299427845,-0.0005681818181816,0.0008460572724329,0.1738352213709541,0.3764079355154015,0.3204163783131966,191.0
