,metric,category,intercept,trend,break_point_effect,p_value_intercept,p_value_trend,p_value_break_point_effect,r_squared,total_count
94,Average Time to Resolve Pull Requests,Configuration_Management_Bots,0.2371031746031745,0.0009383794418167,0.0155542423148055,0.0370212584463632,0.346082285214713,0.4342346666744449,0.1781891602038929,149.0
95,Total Number of Pull Requests,Configuration_Management_Bots,0.3885997010315121,0.008882550639016,-0.0460954489419835,0.0019915863869419,0.2296695444084147,0.321093489906345,0.2247681412525976,142.0
113,Average Duration of Open Pull Requests,Documentation_Generation_Bots,0.4148044187274338,0.0202480540303283,0.0036211687515003,0.000140023265305,0.0447766839675891,0.2780574962842117,0.5139926238945138,256.0
114,Number of Reviews for Pull Requests,Documentation_Generation_Bots,0.3158971419662209,-0.0022642846107758,0.0268030515889484,0.0080932745520361,0.2445948529915604,0.4146785738084412,0.2180146238512458,152.0
115,Average Time to Resolve Pull Requests,Documentation_Generation_Bots,0.2519862618157505,-0.0006732623914707,0.0029353281971084,0.0264737980535385,0.3538611900990877,0.4165623375324668,0.1781891602038929,285.0
116,Total Number of Pull Requests,Documentation_Generation_Bots,0.3694584736251403,0.003821759635713,0.0098928848928848,0.0020450753349571,0.2259494315665208,0.4283859475135998,0.2093845351326515,273.0
134,Average Duration of Open Pull Requests,merged_distinct_actor_ids,0.436591110882225,0.0185034932811547,0.0006285205280215,0.0001005006001532,0.0432534610317026,0.1814105532274689,0.5060423302931747,9434.0
135,Number of Reviews for Pull Requests,merged_distinct_actor_ids,0.347910205942648,0.0020864940745086,-0.0062314498928868,0.0053549819727357,0.2445948529915604,0.3221911340989853,0.2199397380827996,4480.0
136,Average Time to Resolve Pull Requests,merged_distinct_actor_ids,0.2483444078693365,-0.0006732623914707,-0.0010741637404335,0.0411910259506242,0.3479330523748013,0.4288267755207432,0.1479210713110791,9172.0
137,Total Number of Pull Requests,merged_distinct_actor_ids,0.3572911257284634,0.0021306818181817,0.0271512146512148,0.0039379016013934,0.2496463350797136,0.3198396622711684,0.2383354737700528,9138.0
155,Average Duration of Open Pull Requests,Open_Source_Compliance_Inspection_Bots,0.4221534718916919,0.0180872556371309,0.0194057618626585,0.0001206830259765,0.0637411995988948,0.2041454368760228,0.514038885482677,663.0
156,Number of Reviews for Pull Requests,Open_Source_Compliance_Inspection_Bots,0.3373357481813364,-0.0006224451876625,0.0045157446447388,0.00722171549774,0.2241907470679193,0.3533189325253,0.2331715873560904,324.0
157,Average Time to Resolve Pull Requests,Open_Source_Compliance_Inspection_Bots,0.2379585067491062,7.938556038223233e-05,0.0033205733729723,0.0532066179077271,0.3547380057494063,0.4327198715716499,0.1340579555670383,666.0
158,Total Number of Pull Requests,Open_Source_Compliance_Inspection_Bots,0.386430090377459,0.004095904095904,-0.0147486258597366,0.0022235940680715,0.2330370090701969,0.3242079020453827,0.2391223421124538,659.0
